epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1332.14,0.78902,0.53534,0.83891,0.9261,0.87362,0.91104,0.71958,0.5927,0.33835,0.81107,0.0668066,0.000133307,0.000133307
2,2628.37,0.69064,0.40818,0.82374,0.95223,0.89428,0.92097,0.7751,0.49419,0.26647,0.79461,0.0336039,0.000264,0.000264
3,3896.52,0.6431,0.37175,0.81645,0.95557,0.90095,0.92876,0.78705,0.47709,0.24815,0.79137,0.000398663,0.000392054,0.000392054
4,5164.35,0.60842,0.34411,0.81098,0.95784,0.9063,0.93223,0.80127,0.45288,0.23054,0.78851,0.00038812,0.00038812,0.00038812
5,6429.8,0.57213,0.31823,0.80584,0.96084,0.91095,0.93628,0.80968,0.44,0.222,0.78578,0.00038416,0.00038416,0.00038416
6,7696.06,0.54849,0.30159,0.80218,0.96479,0.91175,0.93716,0.81387,0.43335,0.21713,0.78484,0.0003802,0.0003802,0.0003802
7,8964.87,0.5303,0.28949,0.79997,0.96655,0.9116,0.9385,0.81694,0.42979,0.21514,0.7843,0.00037624,0.00037624,0.00037624
8,10232.7,0.51681,0.28097,0.79826,0.96873,0.91234,0.9399,0.81942,0.42679,0.21449,0.78398,0.00037228,0.00037228,0.00037228
9,11500.3,0.50406,0.27321,0.79671,0.96909,0.91327,0.94061,0.8219,0.42305,0.21407,0.78359,0.00036832,0.00036832,0.00036832
10,12771.1,0.49392,0.26609,0.79501,0.96836,0.91541,0.94225,0.82463,0.41878,0.21291,0.78311,0.00036436,0.00036436,0.00036436
11,14039.3,0.4854,0.26043,0.79386,0.9712,0.91583,0.94342,0.82707,0.41397,0.21102,0.78246,0.0003604,0.0003604,0.0003604
12,15307,0.47773,0.2556,0.79294,0.96981,0.91693,0.94379,0.82967,0.40771,0.20819,0.78175,0.00035644,0.00035644,0.00035644
13,16574.5,0.47128,0.25136,0.79205,0.9702,0.91876,0.94584,0.83278,0.4019,0.2049,0.78102,0.00035248,0.00035248,0.00035248
14,17847,0.46472,0.24735,0.79142,0.97145,0.91963,0.94624,0.8354,0.39557,0.20104,0.78024,0.00034852,0.00034852,0.00034852
15,19177.8,0.45855,0.24388,0.79048,0.97428,0.92077,0.94783,0.83795,0.38952,0.19748,0.77941,0.00034456,0.00034456,0.00034456
16,20625.7,0.45435,0.24064,0.79027,0.97354,0.92018,0.94763,0.83984,0.38437,0.19393,0.77861,0.0003406,0.0003406,0.0003406
17,22125.8,0.45003,0.23793,0.78976,0.97221,0.92172,0.94828,0.84191,0.37898,0.19063,0.77798,0.00033664,0.00033664,0.00033664
