epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1482.17,0.82538,0.57002,0.8396,0.92512,0.87591,0.91318,0.72368,0.60986,0.35682,0.80975,0.0668066,0.000133307,0.000133307
2,2950.73,0.70413,0.42153,0.82236,0.94568,0.89646,0.9233,0.7726,0.51138,0.28028,0.79534,0.0336039,0.000264,0.000264
3,4113.64,0.65641,0.38324,0.81518,0.95267,0.90107,0.9269,0.78607,0.48366,0.26029,0.79165,0.000398663,0.000392054,0.000392054
4,5217.55,0.62411,0.35741,0.81056,0.95722,0.90502,0.93035,0.79779,0.46423,0.24361,0.78866,0.00038812,0.00038812,0.00038812
5,6320.92,0.58901,0.33187,0.80567,0.9615,0.91044,0.93439,0.8051,0.45226,0.23341,0.78675,0.00038416,0.00038416,0.00038416
6,7424.07,0.5659,0.31574,0.8024,0.96184,0.91195,0.93585,0.81,0.44334,0.22818,0.78563,0.0003802,0.0003802,0.0003802
7,8527.43,0.5473,0.30308,0.80004,0.96392,0.91402,0.93766,0.81304,0.43883,0.22538,0.78501,0.00037624,0.00037624,0.00037624
8,9631.11,0.53356,0.29384,0.79861,0.96573,0.91482,0.93937,0.8159,0.43396,0.22351,0.78448,0.00037228,0.00037228,0.00037228
9,10734.7,0.52075,0.2854,0.79669,0.96676,0.91563,0.94083,0.81884,0.42962,0.22186,0.78387,0.00036832,0.00036832,0.00036832
10,11838.1,0.51013,0.2785,0.79473,0.96633,0.91635,0.94152,0.82114,0.42458,0.22013,0.78317,0.00036436,0.00036436,0.00036436
11,12941.6,0.50134,0.27314,0.79374,0.96787,0.91865,0.9431,0.8241,0.41999,0.218,0.78261,0.0003604,0.0003604,0.0003604
12,14045.5,0.49385,0.26838,0.79317,0.96829,0.91841,0.94406,0.82689,0.414,0.2154,0.78196,0.00035644,0.00035644,0.00035644
13,15149.4,0.48774,0.26371,0.79213,0.96864,0.91964,0.9451,0.82936,0.4088,0.21212,0.7812,0.00035248,0.00035248,0.00035248
14,16253.3,0.48074,0.25916,0.79157,0.96955,0.92089,0.94572,0.83168,0.40383,0.20908,0.78054,0.00034852,0.00034852,0.00034852
15,17522.5,0.47526,0.25605,0.79103,0.96979,0.92083,0.94582,0.83409,0.39804,0.20537,0.78004,0.00034456,0.00034456,0.00034456
16,18871.2,0.4699,0.25261,0.79025,0.97101,0.92126,0.9464,0.83529,0.39298,0.20199,0.77936,0.0003406,0.0003406,0.0003406
17,20310.4,0.46557,0.24983,0.78953,0.97136,0.92229,0.94726,0.83725,0.38814,0.19869,0.77876,0.00033664,0.00033664,0.00033664
18,21776,0.4626,0.24801,0.78933,0.97167,0.92281,0.94786,0.83918,0.38321,0.19543,0.77828,0.00033268,0.00033268,0.00033268
19,23174.5,0.458,0.24454,0.78885,0.97297,0.92418,0.94858,0.84101,0.37926,0.19265,0.77793,0.00032872,0.00032872,0.00032872
20,24567.3,0.45405,0.24181,0.78846,0.97304,0.92385,0.94887,0.842,0.37619,0.1903,0.7777,0.00032476,0.00032476,0.00032476
21,25799.4,0.45075,0.23985,0.78775,0.97313,0.92406,0.94884,0.84318,0.37217,0.18802,0.77739,0.0003208,0.0003208,0.0003208
22,27207.5,0.44716,0.2379,0.78776,0.97382,0.92368,0.94866,0.84459,0.36863,0.18595,0.77703,0.00031684,0.00031684,0.00031684
23,28445.3,0.44334,0.2358,0.78733,0.97421,0.92246,0.94864,0.84559,0.36545,0.1839,0.77665,0.00031288,0.00031288,0.00031288
24,29780.5,0.44002,0.23369,0.78636,0.97424,0.9237,0.94929,0.8467,0.3631,0.18238,0.7763,0.00030892,0.00030892,0.00030892
25,31019.2,0.4371,0.23153,0.78563,0.97458,0.92323,0.9492,0.84764,0.36021,0.18088,0.77601,0.00030496,0.00030496,0.00030496
26,32399.1,0.43546,0.23052,0.78603,0.97456,0.92404,0.94972,0.84888,0.35761,0.17958,0.77574,0.000301,0.000301,0.000301
27,33854.2,0.43258,0.22885,0.78533,0.97387,0.92452,0.94974,0.84949,0.35542,0.17805,0.77544,0.00029704,0.00029704,0.00029704
28,35212.4,0.42947,0.22724,0.78589,0.97381,0.92506,0.94994,0.85038,0.35298,0.17658,0.77513,0.00029308,0.00029308,0.00029308
29,36524.2,0.42748,0.22584,0.78515,0.97421,0.92482,0.9507,0.85125,0.35128,0.17558,0.7749,0.00028912,0.00028912,0.00028912
30,37816.4,0.42494,0.22414,0.78528,0.9741,0.92517,0.95111,0.85201,0.34979,0.17467,0.77482,0.00028516,0.00028516,0.00028516
31,39129.8,0.42172,0.22282,0.78478,0.97382,0.92562,0.95096,0.85287,0.34747,0.17359,0.77464,0.0002812,0.0002812,0.0002812
32,40428.1,0.4204,0.22143,0.78427,0.97397,0.92617,0.95135,0.85345,0.34582,0.17261,0.77448,0.00027724,0.00027724,0.00027724
33,41636.9,0.41835,0.21977,0.78417,0.97484,0.92588,0.9514,0.85395,0.34432,0.17173,0.77434,0.00027328,0.00027328,0.00027328
34,42894.6,0.41661,0.2186,0.78339,0.97596,0.92549,0.9519,0.85483,0.34299,0.171,0.77407,0.00026932,0.00026932,0.00026932
35,44279.2,0.41454,0.21779,0.78345,0.97556,0.92638,0.95225,0.85562,0.34138,0.17011,0.77385,0.00026536,0.00026536,0.00026536
36,45562.7,0.4127,0.21611,0.78325,0.97484,0.9278,0.95285,0.85594,0.3408,0.16954,0.77373,0.0002614,0.0002614,0.0002614
37,46747.2,0.41046,0.21521,0.78311,0.97484,0.92848,0.95343,0.85691,0.33982,0.16888,0.77372,0.00025744,0.00025744,0.00025744
38,48004,0.4091,0.21443,0.78342,0.9754,0.92832,0.95291,0.85754,0.33863,0.16834,0.77374,0.00025348,0.00025348,0.00025348
39,49193,0.4078,0.21355,0.78312,0.9745,0.92895,0.95359,0.85825,0.33734,0.1677,0.77365,0.00024952,0.00024952,0.00024952
40,50381.7,0.40608,0.2122,0.7826,0.97597,0.92735,0.95302,0.85849,0.33607,0.16712,0.77356,0.00024556,0.00024556,0.00024556
