epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,532.176,1.12758,0.97131,0.88262,0.86849,0.8023,0.85155,0.60837,0.86915,0.55669,0.84057,0.0668066,0.000133307,0.000133307
2,1039.54,0.89398,0.56987,0.84207,0.91763,0.8613,0.89249,0.69786,0.6633,0.3871,0.81141,0.0336039,0.000264,0.000264
3,1526.89,0.82182,0.50257,0.83154,0.93027,0.87574,0.90364,0.72214,0.61969,0.35004,0.80488,0.000398663,0.000392054,0.000392054
4,2014.32,0.7783,0.46499,0.82485,0.94209,0.88032,0.90831,0.73808,0.58928,0.32711,0.80059,0.00038812,0.00038812,0.00038812
5,2501.45,0.73998,0.43369,0.81994,0.9446,0.88712,0.91397,0.74824,0.5711,0.31315,0.79842,0.00038416,0.00038416,0.00038416
6,2988.24,0.71494,0.41426,0.81615,0.94757,0.89151,0.91734,0.755,0.56003,0.30514,0.797,0.0003802,0.0003802,0.0003802
7,3474.84,0.69489,0.39921,0.81349,0.94856,0.89222,0.91875,0.75916,0.55212,0.29989,0.79605,0.00037624,0.00037624,0.00037624
8,3962.72,0.67992,0.38785,0.81183,0.95112,0.89277,0.92028,0.76342,0.54582,0.29592,0.79528,0.00037228,0.00037228,0.00037228
9,4449.82,0.66496,0.37748,0.80988,0.95167,0.89367,0.92089,0.76635,0.53992,0.29232,0.79463,0.00036832,0.00036832,0.00036832
10,4936.43,0.65453,0.37003,0.80837,0.95323,0.89501,0.92219,0.76946,0.53344,0.28873,0.79396,0.00036436,0.00036436,0.00036436
11,5423.47,0.6446,0.36303,0.80721,0.95321,0.89566,0.92311,0.77256,0.52773,0.28504,0.79324,0.0003604,0.0003604,0.0003604
12,5910.93,0.63634,0.35681,0.80633,0.95258,0.89649,0.92412,0.77584,0.52152,0.28132,0.79241,0.00035644,0.00035644,0.00035644
13,6397.81,0.62964,0.35227,0.80516,0.95547,0.89771,0.92577,0.77866,0.5155,0.2774,0.79155,0.00035248,0.00035248,0.00035248
14,6885.1,0.6213,0.34696,0.80447,0.95783,0.89913,0.92757,0.78125,0.51007,0.27374,0.79076,0.00034852,0.00034852,0.00034852
15,7372.64,0.61539,0.34314,0.80387,0.95751,0.90004,0.92808,0.78396,0.50414,0.27023,0.79001,0.00034456,0.00034456,0.00034456
16,7859.5,0.6099,0.33883,0.80314,0.95659,0.90187,0.92887,0.78601,0.49851,0.26684,0.78918,0.0003406,0.0003406,0.0003406
17,8346.89,0.60481,0.33538,0.80236,0.95654,0.90207,0.92935,0.78835,0.49301,0.26328,0.78843,0.00033664,0.00033664,0.00033664
18,8833.83,0.6005,0.3324,0.80195,0.95724,0.90311,0.9303,0.79046,0.48768,0.2596,0.78778,0.00033268,0.00033268,0.00033268
19,9320.57,0.5949,0.32843,0.80114,0.95609,0.90496,0.93096,0.79231,0.48315,0.2568,0.78714,0.00032872,0.00032872,0.00032872
20,9808.21,0.59172,0.32593,0.80106,0.95758,0.90572,0.93146,0.79405,0.47879,0.25409,0.78655,0.00032476,0.00032476,0.00032476
21,10295,0.58752,0.32383,0.80004,0.96022,0.90572,0.93225,0.7957,0.47512,0.2517,0.78604,0.0003208,0.0003208,0.0003208
22,10782.2,0.58311,0.32087,0.79984,0.96116,0.9064,0.93299,0.79697,0.47162,0.24942,0.78552,0.00031684,0.00031684,0.00031684
23,11270.4,0.57838,0.31759,0.79977,0.96341,0.90597,0.9333,0.79749,0.46791,0.24693,0.7851,0.00031288,0.00031288,0.00031288
24,11757.5,0.57519,0.31496,0.79873,0.96089,0.908,0.93348,0.79872,0.46513,0.24501,0.78472,0.00030892,0.00030892,0.00030892
25,12244.4,0.57208,0.31303,0.79795,0.96172,0.90832,0.93445,0.80065,0.46194,0.2432,0.78434,0.00030496,0.00030496,0.00030496
