epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,775.773,0.93648,0.70533,0.85078,0.91707,0.85172,0.89268,0.68291,0.69315,0.41886,0.81497,0.0668066,0.000133307,0.000133307
2,1519.27,0.76341,0.46808,0.82399,0.94271,0.88647,0.91377,0.75103,0.55662,0.31647,0.7969,0.0336039,0.000264,0.000264
3,2261.76,0.70804,0.42331,0.81609,0.94669,0.89473,0.92083,0.76754,0.52837,0.29357,0.79348,0.000398663,0.000392054,0.000392054
4,3098.63,0.67331,0.39513,0.81125,0.95034,0.89902,0.925,0.78144,0.50092,0.27385,0.79001,0.00038812,0.00038812,0.00038812
5,3908.85,0.63603,0.36785,0.80683,0.9547,0.90329,0.93019,0.78975,0.48668,0.26263,0.78812,0.00038416,0.00038416,0.00038416
6,4696.69,0.6127,0.3505,0.80376,0.95855,0.9038,0.93098,0.79464,0.4765,0.25671,0.78705,0.0003802,0.0003802,0.0003802
7,5471.64,0.5939,0.33714,0.80134,0.96113,0.90468,0.93201,0.799,0.46944,0.25334,0.78643,0.00037624,0.00037624,0.00037624
8,6233.42,0.58002,0.3272,0.8001,0.9595,0.90586,0.93296,0.80146,0.46419,0.2512,0.78585,0.00037228,0.00037228,0.00037228
9,6952.55,0.56572,0.31803,0.79842,0.96204,0.90627,0.9336,0.80379,0.45998,0.24945,0.78533,0.00036832,0.00036832,0.00036832
10,7675.84,0.55517,0.31052,0.79665,0.96198,0.90753,0.93491,0.80678,0.4547,0.2472,0.78465,0.00036436,0.00036436,0.00036436
11,8405.51,0.5458,0.30445,0.79585,0.96045,0.91096,0.93641,0.80925,0.44978,0.24445,0.784,0.0003604,0.0003604,0.0003604
12,9095.5,0.53808,0.29907,0.79506,0.96239,0.91205,0.93763,0.81203,0.44323,0.24104,0.78339,0.00035644,0.00035644,0.00035644
13,9786.2,0.53076,0.29418,0.79399,0.96269,0.91284,0.93869,0.81433,0.43818,0.23764,0.7827,0.00035248,0.00035248,0.00035248
14,10477.1,0.524,0.28987,0.79357,0.9644,0.91396,0.93981,0.81659,0.43318,0.23407,0.78205,0.00034852,0.00034852,0.00034852
15,11168.1,0.51773,0.28606,0.79289,0.96456,0.91507,0.94022,0.81886,0.42789,0.23032,0.78142,0.00034456,0.00034456,0.00034456
